method,filename,prompt,relative_path,generation_seconds,gpu,codec,fps,width,height,duration_seconds,bytes,decode_valid
sla,monster.mp4,"Animated scene features a close-up of a short fluffy monster kneeling beside a melting red candle.The art style is 3D and realistic,with a focus on lighting and texture.The mood of the painting is one of wonder and curiosity, as the monster gazes at the flame with wide eyes and open mouth. lts pose and expression convey a sense of innocence and playfulness, as if it is exploring the world around it for the first time.The use of warm colors and dramatic lighting further enhances the cozy atmosphere of the image.",sla/monster.mp4,32.01874876022339,0,h264,16.0,832,480,5.06,471098,True
sla_q_2to4,monster.mp4,"Animated scene features a close-up of a short fluffy monster kneeling beside a melting red candle.The art style is 3D and realistic,with a focus on lighting and texture.The mood of the painting is one of wonder and curiosity, as the monster gazes at the flame with wide eyes and open mouth. lts pose and expression convey a sense of innocence and playfulness, as if it is exploring the world around it for the first time.The use of warm colors and dramatic lighting further enhances the cozy atmosphere of the image.",sla_q_2to4/monster.mp4,31.721975803375244,1,h264,16.0,832,480,5.06,173349,True
original,pigeon.mp4,"This close-up shot of a Victoria crowned pigeon showcases its striking blue plumage and red chest. Its crest is made of delicate, lacy feathers, while its eye is a striking red color. The bird's head is tilted slightly to the side,giving the impression of it looking regal and majestic. The background is blurred,drawing attention to the bird's striking appearance.",original/pigeon.mp4,34.64200949668884,0,h264,16.0,832,480,5.06,310669,True
sla,pigeon.mp4,"This close-up shot of a Victoria crowned pigeon showcases its striking blue plumage and red chest. Its crest is made of delicate, lacy feathers, while its eye is a striking red color. The bird's head is tilted slightly to the side,giving the impression of it looking regal and majestic. The background is blurred,drawing attention to the bird's striking appearance.",sla/pigeon.mp4,30.526538610458374,1,h264,16.0,832,480,5.06,692285,True
sla_q_2to4,pigeon.mp4,"This close-up shot of a Victoria crowned pigeon showcases its striking blue plumage and red chest. Its crest is made of delicate, lacy feathers, while its eye is a striking red color. The bird's head is tilted slightly to the side,giving the impression of it looking regal and majestic. The background is blurred,drawing attention to the bird's striking appearance.",sla_q_2to4/pigeon.mp4,32.62747287750244,0,h264,16.0,832,480,5.06,520279,True
original,televisions.mp4,"The camera rotates around a large stack of vintage televisions all showing different programs-1950s sci-fi movies, horror movies, news, static, a 1970s sitcom, etc, set inside a large New York museum gallery.",original/televisions.mp4,33.73256325721741,1,h264,16.0,832,480,5.06,688027,True
sla,televisions.mp4,"The camera rotates around a large stack of vintage televisions all showing different programs-1950s sci-fi movies, horror movies, news, static, a 1970s sitcom, etc, set inside a large New York museum gallery.",sla/televisions.mp4,32.07671403884888,0,h264,16.0,832,480,5.06,715700,True
sla_q_2to4,televisions.mp4,"The camera rotates around a large stack of vintage televisions all showing different programs-1950s sci-fi movies, horror movies, news, static, a 1970s sitcom, etc, set inside a large New York museum gallery.",sla_q_2to4/televisions.mp4,31.952351093292236,1,h264,16.0,832,480,5.06,423284,True
original,waves.mp4,"Drone view of waves crashing against the rugged cliffs along Big Sur's garay point beach.The crashing blue waters create white-tipped waves,while the golden light of the setting sun illuminates the rocky shore. A small island with a lighthouse sits in the distance, and green shrubbery covers the cliffs edge. The steep drop from the road down to the beach is adramatic feat, with the cliff's edges jutting out over the sea. This is a view that captures the raw beauty of the coast and the rugged landscape of the Pacific Coast Highway.",original/waves.mp4,34.97857737541199,0,h264,16.0,832,480,5.06,944481,True
sla,waves.mp4,"Drone view of waves crashing against the rugged cliffs along Big Sur's garay point beach.The crashing blue waters create white-tipped waves,while the golden light of the setting sun illuminates the rocky shore. A small island with a lighthouse sits in the distance, and green shrubbery covers the cliffs edge. The steep drop from the road down to the beach is adramatic feat, with the cliff's edges jutting out over the sea. This is a view that captures the raw beauty of the coast and the rugged landscape of the Pacific Coast Highway.",sla/waves.mp4,30.708173274993896,1,h264,16.0,832,480,5.06,959817,True
sla_q_2to4,waves.mp4,"Drone view of waves crashing against the rugged cliffs along Big Sur's garay point beach.The crashing blue waters create white-tipped waves,while the golden light of the setting sun illuminates the rocky shore. A small island with a lighthouse sits in the distance, and green shrubbery covers the cliffs edge. The steep drop from the road down to the beach is adramatic feat, with the cliff's edges jutting out over the sea. This is a view that captures the raw beauty of the coast and the rugged landscape of the Pacific Coast Highway.",sla_q_2to4/waves.mp4,32.775630235672,0,h264,16.0,832,480,5.06,592294,True
original,woman.mp4,"A stylish woman walks down a Tokyo street filled with warm glowing neon and animated city signage. She wears a black leather jacket, along red dress, and black boots, and carries a black purse. She wears sunglasses and red lipstick. She walks confidently and casually. The street is dampand reflective, creating a mirror effect of thecolorful lights. Many pedestrians walk about.",original/woman.mp4,34.05198884010315,1,h264,16.0,832,480,5.06,569565,True
sla,woman.mp4,"A stylish woman walks down a Tokyo street filled with warm glowing neon and animated city signage. She wears a black leather jacket, along red dress, and black boots, and carries a black purse. She wears sunglasses and red lipstick. She walks confidently and casually. The street is dampand reflective, creating a mirror effect of thecolorful lights. Many pedestrians walk about.",sla/woman.mp4,31.665755033493042,0,h264,16.0,832,480,5.06,602133,True
sla_q_2to4,woman.mp4,"A stylish woman walks down a Tokyo street filled with warm glowing neon and animated city signage. She wears a black leather jacket, along red dress, and black boots, and carries a black purse. She wears sunglasses and red lipstick. She walks confidently and casually. The street is dampand reflective, creating a mirror effect of thecolorful lights. Many pedestrians walk about.",sla_q_2to4/woman.mp4,30.822808742523193,1,h264,16.0,832,480,5.06,412172,True
